CatalogNumber,Individual_ID,Fish_Species,Year_Fish_Collected,month_fish_collected,day_fish_collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,CRUS.D.SKIN,Muscle,BUCCAL_CAVITY,BODY_CAVITY,PECTORALFIN,PELVICFIN,MONO.GYRO.ANALFIN,CYST.UNKN.CAUDALFIN,MONO.GYRO.DORSALFIN,CYST.UNK.DORSALFIN,GONAD,LIVER,KIDNEY,TREM.DIPS.EYE,HEART,STOMACH,TREM.DIPS.CONNECTIVE_TISSUE,NEM.LARV.CONNECTIVETISSUE,NEMA.L.CONNECTIVE_TISSUE,NEMA.STY.INTESTINE,NEMA.SC.INTESTINE,NEMA.UNK.INTESTINE,NEMA.LARV.INTESTINE,NEMA.MYST.INTESTINE,TREM.IZ.INTESTINE,CEST.BOTSP.INTESTINE,CEST.A.INTESTINE,MONO.SALSP.GILL,MONO.SS.GILLS,MONO.GYRO.GILL,MONO.UNK.GILL,MYXO.G.GILL,TREM.UNK.GILL,CRUS.D.GILL,PROT.CIL.GILL_PRESENCE_ABSENCE,CYST.UNK.GILL,MYXO.MXYID.GALLBLADDER(PRESENCE1_ABSENCE0),CRUS.LERSP.FLUSH,ACANTH.SPK.FLUSH,TREM.DIPS.FLUSH,Notes_details_about_parasites_missing,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1 Box Number,P1_label:MSB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P1 Notes,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2 Box Number,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P2 Notes,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3 Box Number,P3_Label:fishID,P3_label:Parasites_Code,P3 Notes,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,P4_Life_Stage,P4_Organ,P4_How_preserved,P4_barcode,P4 Box_number,P4_Label:fishID,P4_label:Parasites_Code,P4 Notes,P5_Species,P5_Number_of_individuals,P5_collector,P5_identifier,P5_Life_Stage,P5_Organ,P5_How_preserved,P5_barcode,P5 Box Number,P5_Label:fishID,P5_label:Parasites_Code,P5 Notes
MSB:Fish:307,MSB 307-5,Gambusia affinis,1959,2,24,JAR8793F,JG,07-07-2025,07-07-2025,33,24,304,GC,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:307,MSB 307-1,Gambusia affinis,1959,2,24,JAR8797F,BP,07-07-2025,07-07-2025,30,24,257,GC,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1086,MSB 1086-2,Gambusia affinis,1939,4,22,JAR8900F,BP,07-07-2025,07-07-2025,45,36,994,GC,F,Arthropod & Vegetation,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1086,MSB1086-4,Gambusia affinis,1939,4,22,JAR8791F,BP,07-07-2025,07-07-2025,39,30,752,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 1086-4,Gambusia affinis,JAR8791F,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L39,5,MSB 1086-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1086,MSB 1086-1,Gambusia affinis,1939,4,22,JAR8898F,BP,07-07-2025,07-07-2025,47,37,1182,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 1086-1,Gambusia affinis,JAR8898F,Salsuginus sp.,3,KL,KL,Adult,Gill,70% etoh,P6L38,5,MSB 1086-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:307,MSB 307-4,Gambusia affinis,1959,2,24,JAR8794F,BP,07-07-2025,07-07-2025,31,26,296,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5811,MSB 5811-5,Gambusia affinis,1987,9,9,JAR8810F,BP,07-07-2025,07-07-2025,32,26,411,GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 5811-5,Gambusia affinis,JAR8810F,Salsuginus sp.,4,GC,GC,Adult,Gill,70% etoh,P6L6B,5,MSB 5811-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4750,MSB 4750-5,Gambusia affinis,1978,9,29,JAR8807F,EO,07-07-2025,07-07-2025,34,27,447,JG KL,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,NA,0,0,0,,MSB 4750-5,Gambusia affinis,JAR8807F,Salsuginus sp.,5,KL,KL,Adult,Gill,70% etoh,P6L69,5,MSB 4750-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4750,MSB 4750-2,Gambusia affinis,1978,9,29,JAR8808F,JG,07-07-2025,07-07-2025,41,36,1080,KL,F,NA,,0,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CYST.UNK.CAUDALFIN destroyed,MSB 4750-2,Gambusia affinis,JAR8808F,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L3C,5,MSB 4750-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4750,MSB 4750-3,Gambusia affinis,1978,9,29,JAR8809F,EO,07-07-2025,07-07-2025,44,35,886,GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,NA,0,0,0,,MSB 4750-3,Gambusia affinis,JAR8809F,Salsuginus sp.,7,GC,GC,Adult,Gill,70% etoh,P6L6D,5,MSB 4750-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1086,MSB 1086-5,Gambusia affinis,1939,4,22,JAR8792F,JG,07-07-2025,07-07-2025,46,35,1207,GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,,MSB 1086-5,Gambusia affinis,JAR8792F,Salsuginus sp.,1,GC,GC,Adult,Gill,70% etoh,P6L6C,5,MSB 1086-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:307,MSB 307-2,Gambusia affinis,1959,2,24,JAR8796F,JG,07-07-2025,07-07-2025,31,23,295,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,,MSB 307-2,Gambusia affinis,JAR8796F,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L3B,5,MSB 307-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:307,MSB 307-3,Gambusia affinis,1959,2,24,JAR8795F,BP,07-07-2025,07-07-2025,31,25,277,KL,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,,MSB 307-3,Gambusia affinis,JAR8795F,Salsuginus sp.,2,KL,KL,Adult,Gill,70% etoh,P6L3A,5,MSB 307-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
