"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"1","MSB:Fish:1078",1939,1,30,"MSB 1078-1","JAR11299F","BP","JG","07-14-2025","F",40,31,647,"impact","impact_1931-1940",35.087167,-106.682164,"crus.d","0"
"2","MSB:Fish:1078",1939,1,30,"MSB 1078-2","JAR11302F","JG","KL","07-14-2025",NA,41,32,699,"impact","impact_1931-1940",35.087167,-106.682164,"crus.d","0"
"3","MSB:Fish:1078",1939,1,30,"MSB 1078-3","JAR11305F","BP","KL","07-14-2025",NA,43,35,798,"impact","impact_1931-1940",35.087167,-106.682164,"crus.d","0"
"4","MSB:Fish:1078",1939,1,30,"MSB 1078-4","JAR11320F","JG","GC","07-14-2025","F",43,37,1027,"impact","impact_1931-1940",35.087167,-106.682164,"crus.d","0"
"5","MSB:Fish:1078",1939,1,30,"MSB 1078-5","JAR11308F","BP","KL","07-14-2025",NA,39,29,627,"impact","impact_1931-1940",35.087167,-106.682164,"crus.d","0"
"6","MSB:Fish:1079",1941,9,14,"MSB 1079-5","JAR11311F","JG","KL","07-14-2025",NA,37,29,441,"impact","impact_1941-1950",35.096748,-106.692027,"crus.d","0"
"7","MSB:Fish:1079",1941,9,14,"MSB 1079-3","JAR11332F","BP","GC","07-14-2025","F",33,25,457,"impact","impact_1941-1950",35.096748,-106.692027,"crus.d","0"
"8","MSB:Fish:1079",1941,9,14,"MSB 1079-1","JAR11334F","BP","GC","07-14-2025",NA,29,24,231,"impact","impact_1941-1950",35.096748,-106.692027,"crus.d","0"
"9","MSB:Fish:1079",1941,9,14,"MSB 1079-2","JAR11331F","JG","KL","07-14-2025",NA,35,29,447,"impact","impact_1941-1950",35.096748,-106.692027,"crus.d","0"
"10","MSB:Fish:1079",1941,9,14,"MSB 1079-4","JAR11333F","BP","GC","07-14-2025","F",44,33,754,"impact","impact_1941-1950",35.096748,-106.692027,"crus.d","0"
"11","MSB:Fish:1081",1939,3,17,"MSB 1081-5","JAR8835F","BP","EO","07-08-2025","F",28,22,226,"impact","impact_1931-1940",35.072363,-106.668064,"crus.d","0"
"12","MSB:Fish:1081",1939,3,17,"MSB 1081-4","JAR8832F","JG","KL","07-08-2025","F",27,22,188,"impact","impact_1931-1940",35.072363,-106.668064,"crus.d","0"
"13","MSB:Fish:1081",1939,3,17,"MSB 1081-2","JAR8836","JG","BP","07-08-2025",NA,29,24,239,"impact","impact_1931-1940",35.072363,-106.668064,"crus.d","0"
"14","MSB:Fish:1081",1939,3,17,"MSB 1081-1","JAR8837F","BP","BP","07-08-2025","F",43,33,868,"impact","impact_1931-1940",35.072363,-106.668064,"crus.d","0"
"15","MSB:Fish:1081",1939,3,17,"MSB 1081-3","JAR8834F","BP","JG","07-08-2025",NA,27,21,176,"impact","impact_1931-1940",35.072363,-106.668064,"crus.d","0"
"16","MSB:Fish:1082",1938,10,18,"MSB 1082-1","JAR8930F","BP","EO","07-09-2025","F",41,32,722,"impact","impact_1931-1940",35.100259,-106.692107,"crus.d","0"
"17","MSB:Fish:1082",1938,10,18,"MSB 1082-4","JAR8934F","BP","BP","07-09-2025",NA,31,24,264,"impact","impact_1931-1940",35.100259,-106.692107,"crus.d","0"
"18","MSB:Fish:1082",1938,10,18,"MSB 1082-2","JAR8928F","EO","GC","07-09-2025","F",40,33,627,"impact","impact_1931-1940",35.100259,-106.692107,"crus.d","0"
"19","MSB:Fish:1082",1938,10,18,"MSB 1082-5","JAR8927F","EO","KL","07-09-2025",NA,25,21,140,"impact","impact_1931-1940",35.100259,-106.692107,"crus.d","0"
"20","MSB:Fish:1082",1938,10,18,"MSB 1082-3","JAR8929F","EO","KL","07-09-2025","F",34,28,397,"impact","impact_1931-1940",35.100259,-106.692107,"crus.d","0"
"21","MSB:Fish:1085",1939,5,13,"MSB 1085-5","JAR8935F","JG","GC","07-10-2025","F",50,39,1499,"impact","impact_1931-1940",35.192334,-106.619678,"crus.d","0"
"22","MSB:Fish:1085",1939,5,13,"MSB 1085-4","JAR8941F","JG","KL","07-10-2025","F",44,36,1060,"impact","impact_1931-1940",35.192334,-106.619678,"crus.d","0"
"23","MSB:Fish:1085",1939,5,13,"MSB 1085-1","JAR8932F","JG","KL","07-10-2025","F",41,33,809,"impact","impact_1931-1940",35.192334,-106.619678,"crus.d","0"
